,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_elasticnet__alpha,param_elasticnet__l1_ratio,param_elasticnet__max_iter,param_elasticnet__selection,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,mean_train_score,std_train_score
18,0.009376764297485352,0.003515389498791474,0.0031342506408691406,0.0022568309338931954,0.2782559402207124,1.0,100000,cyclic,"{'elasticnet__alpha': 0.2782559402207124, 'elasticnet__l1_ratio': 1.0, 'elasticnet__max_iter': 100000, 'elasticnet__selection': 'cyclic'}",-4.973474751530181,-8.514110948950421,-7.554279991154665,-6.7929856407150835,-6.958712833087588,1.2983257758893907,27,-7.573478250942138,-6.341501188631061,-6.776224348152913,-6.9707267285302095,-6.91548262906408,0.4429609778807871
19,0.006988942623138428,0.0034889514230121103,0.0019940733909606934,0.00022459766497102547,0.2782559402207124,1.0,100000,random,"{'elasticnet__alpha': 0.2782559402207124, 'elasticnet__l1_ratio': 1.0, 'elasticnet__max_iter': 100000, 'elasticnet__selection': 'random'}",-4.973474751530181,-8.515845893321279,-7.554279991154665,-6.7929856407150835,-6.9591465691803025,1.298845506333437,28,-7.573478250942138,-6.344275242649332,-6.776224348152913,-6.9707267285302095,-6.916176142568648,0.4420630532485417
20,4.82425856590271,0.11760996396333609,0.004036605358123779,0.0019284945185215443,0.774263682681127,0.0,100000,cyclic,"{'elasticnet__alpha': 0.774263682681127, 'elasticnet__l1_ratio': 0.0, 'elasticnet__max_iter': 100000, 'elasticnet__selection': 'cyclic'}",-4.608582853417014,-8.21203110544482,-7.128476071306334,-6.390278847465713,-6.58484221940847,1.3121297023484584,14,-7.144436137234351,-5.94322354535247,-6.327232522272219,-6.5898968814966254,-6.501197271588916,0.4368129669119298
21,4.879295468330383,0.05420390262833781,0.003103017807006836,0.0012538650116036632,0.774263682681127,0.0,100000,random,"{'elasticnet__alpha': 0.774263682681127, 'elasticnet__l1_ratio': 0.0, 'elasticnet__max_iter': 100000, 'elasticnet__selection': 'random'}",-4.608582853417025,-8.21203110544482,-7.1284760713063315,-6.3902788474657015,-6.584842219408469,1.3121297023484542,13,-7.144436137234364,-5.943223545352471,-6.327232522272219,-6.589896881496628,-6.501197271588921,0.43681296691193455
22,0.00925743579864502,7.002416986446091e-05,0.0017667412757873535,6.722291535650713e-05,0.774263682681127,0.25,100000,cyclic,"{'elasticnet__alpha': 0.774263682681127, 'elasticnet__l1_ratio': 0.25, 'elasticnet__max_iter': 100000, 'elasticnet__selection': 'cyclic'}",-4.921164677660223,-8.496784812344373,-7.4899828692505945,-6.7568859183511485,-6.916204569401585,1.3070024908134852,24,-7.521444174759113,-6.303897355548246,-6.710289145199483,-6.953720934950133,-6.872337902614244,0.44083630913819694
23,0.00802522897720337,0.004282440814203099,0.0035364627838134766,0.0017826595503416477,0.774263682681127,0.25,100000,random,"{'elasticnet__alpha': 0.774263682681127, 'elasticnet__l1_ratio': 0.25, 'elasticnet__max_iter': 100000, 'elasticnet__selection': 'random'}",-4.921162279187937,-8.496784524305427,-7.489983306075079,-6.752486135709693,-6.915104061319534,1.3071388271050013,23,-7.521441737543951,-6.303896613765308,-6.71028900249101,-6.950544884345154,-6.871543059536355,0.4406912009302054
24,0.004707217216491699,0.0014230441209793232,0.002210080623626709,0.0009539698258414214,0.774263682681127,0.5,100000,cyclic,"{'elasticnet__alpha': 0.774263682681127, 'elasticnet__l1_ratio': 0.5, 'elasticnet__max_iter': 100000, 'elasticnet__selection': 'cyclic'}",-5.034950421781922,-8.619100634000363,-7.684742502108866,-6.860403363833213,-7.049799230431091,1.3192181746675473,31,-7.666611365928136,-6.478994844557804,-6.8502429577544595,-7.064185763913535,-7.015008733038484,0.4305412352213017
25,0.008282959461212158,0.0034025934031901212,0.0021834969520568848,0.0005716005349368929,0.774263682681127,0.5,100000,random,"{'elasticnet__alpha': 0.774263682681127, 'elasticnet__l1_ratio': 0.5, 'elasticnet__max_iter': 100000, 'elasticnet__selection': 'random'}",-5.034950421781922,-8.619100634000363,-7.684742502108866,-6.860403363833213,-7.049799230431091,1.3192181746675473,31,-7.666611365928136,-6.478994844557804,-6.8502429577544595,-7.064185763913535,-7.015008733038484,0.4305412352213017
26,0.008459210395812988,0.0010303027177884319,0.0018520355224609375,5.359037668102393e-05,0.774263682681127,0.75,100000,cyclic,"{'elasticnet__alpha': 0.774263682681127, 'elasticnet__l1_ratio': 0.75, 'elasticnet__max_iter': 100000, 'elasticnet__selection': 'cyclic'}",-5.076010175849262,-8.66572705328171,-7.691540598181769,-6.9107976609370425,-7.086018872062446,1.3165268635974046,41,-7.726239522130179,-6.53281723668639,-6.85434658366864,-7.124846016880564,-7.0595623398414435,0.4382620033015636
27,0.006285667419433594,0.0038487826486206067,0.0017212629318237305,6.016881495402154e-05,0.774263682681127,0.75,100000,random,"{'elasticnet__alpha': 0.774263682681127, 'elasticnet__l1_ratio': 0.75, 'elasticnet__max_iter': 100000, 'elasticnet__selection': 'random'}",-5.076010175849262,-8.66572705328171,-7.691540598181769,-6.9107976609370425,-7.086018872062446,1.3165268635974046,41,-7.726239522130179,-6.53281723668639,-6.85434658366864,-7.124846016880564,-7.0595623398414435,0.4382620033015636
28,0.009735107421875,0.005971196866791213,0.0018503069877624512,8.439502036915277e-05,0.774263682681127,1.0,100000,cyclic,"{'elasticnet__alpha': 0.774263682681127, 'elasticnet__l1_ratio': 1.0, 'elasticnet__max_iter': 100000, 'elasticnet__selection': 'cyclic'}",-5.076010175849262,-8.66572705328171,-7.691540598181769,-6.9107976609370425,-7.086018872062446,1.3165268635974046,41,-7.726239522130179,-6.53281723668639,-6.85434658366864,-7.124846016880564,-7.0595623398414435,0.4382620033015636
29,0.005996406078338623,0.0034502770782466824,0.0031682848930358887,0.0013345576000485693,0.774263682681127,1.0,100000,random,"{'elasticnet__alpha': 0.774263682681127, 'elasticnet__l1_ratio': 1.0, 'elasticnet__max_iter': 100000, 'elasticnet__selection': 'random'}",-5.076010175849262,-8.66572705328171,-7.691540598181769,-6.9107976609370425,-7.086018872062446,1.3165268635974046,41,-7.726239522130179,-6.53281723668639,-6.85434658366864,-7.124846016880564,-7.0595623398414435,0.4382620033015636
30,5.02177894115448,0.06295735817834061,0.0040305256843566895,0.0028965624792648636,2.1544346900318834,0.0,100000,cyclic,"{'elasticnet__alpha': 2.1544346900318834, 'elasticnet__l1_ratio': 0.0, 'elasticnet__max_iter': 100000, 'elasticnet__selection': 'cyclic'}",-4.817724807503237,-8.401667518516206,-7.374375402933755,-6.6197775826894025,-6.8033863279106495,1.3093027851673247,20,-7.403909490001395,-6.21005168473053,-6.569961701792742,-6.824591003252468,-6.752128469944284,0.4350578379154269
31,5.096282243728638,0.11937646415389915,0.007613182067871094,0.003009305209374814,2.1544346900318834,0.0,100000,random,"{'elasticnet__alpha': 2.1544346900318834, 'elasticnet__l1_ratio': 0.0, 'elasticnet__max_iter': 100000, 'elasticnet__selection': 'random'}",-4.817724807503236,-8.401667518516192,-7.374375402933754,-6.619777582689395,-6.803386327910644,1.309302785167321,19,-7.403909490001392,-6.2100516847305265,-6.569961701792742,-6.824591003252468,-6.7521284699442825,0.43505783791542696
32,0.009220361709594727,0.0030431408784620403,0.0017257332801818848,5.9749992298694765e-05,2.1544346900318834,0.25,100000,cyclic,"{'elasticnet__alpha': 2.1544346900318834, 'elasticnet__l1_ratio': 0.25, 'elasticnet__max_iter': 100000, 'elasticnet__selection': 'cyclic'}",-5.076010175849262,-8.66572705328171,-7.691540598181769,-6.9107976609370425,-7.086018872062446,1.3165268635974046,41,-7.726239522130179,-6.53281723668639,-6.85434658366864,-7.124846016880564,-7.0595623398414435,0.4382620033015636
33,0.009496152400970459,0.0034390639797397355,0.0031867027282714844,0.0022049045003102253,2.1544346900318834,0.25,100000,random,"{'elasticnet__alpha': 2.1544346900318834, 'elasticnet__l1_ratio': 0.25, 'elasticnet__max_iter': 100000, 'elasticnet__selection': 'random'}",-5.076010175849262,-8.66572705328171,-7.691540598181769,-6.9107976609370425,-7.086018872062446,1.3165268635974046,41,-7.726239522130179,-6.53281723668639,-6.85434658366864,-7.124846016880564,-7.0595623398414435,0.4382620033015636
34,0.008875370025634766,0.0026982317141718325,0.005014657974243164,0.003594275590517611,2.1544346900318834,0.5,100000,cyclic,"{'elasticnet__alpha': 2.1544346900318834, 'elasticnet__l1_ratio': 0.5, 'elasticnet__max_iter': 100000, 'elasticnet__selection': 'cyclic'}",-5.076010175849262,-8.66572705328171,-7.691540598181769,-6.9107976609370425,-7.086018872062446,1.3165268635974046,41,-7.726239522130179,-6.53281723668639,-6.85434658366864,-7.124846016880564,-7.0595623398414435,0.4382620033015636
35,0.0073847174644470215,0.0035208022544263094,0.0019649863243103027,0.0001354123475567927,2.1544346900318834,0.5,100000,random,"{'elasticnet__alpha': 2.1544346900318834, 'elasticnet__l1_ratio': 0.5, 'elasticnet__max_iter': 100000, 'elasticnet__selection': 'random'}",-5.076010175849262,-8.66572705328171,-7.691540598181769,-6.9107976609370425,-7.086018872062446,1.3165268635974046,41,-7.726239522130179,-6.53281723668639,-6.85434658366864,-7.124846016880564,-7.0595623398414435,0.4382620033015636
36,0.004464566707611084,0.0009473163199087902,0.005384624004364014,0.0036010055739985353,2.1544346900318834,0.75,100000,cyclic,"{'elasticnet__alpha': 2.1544346900318834, 'elasticnet__l1_ratio': 0.75, 'elasticnet__max_iter': 100000, 'elasticnet__selection': 'cyclic'}",-5.076010175849262,-8.66572705328171,-7.691540598181769,-6.9107976609370425,-7.086018872062446,1.3165268635974046,41,-7.726239522130179,-6.53281723668639,-6.85434658366864,-7.124846016880564,-7.0595623398414435,0.4382620033015636
37,0.005771040916442871,0.0024004383486620584,0.00197756290435791,0.00015484460760206614,2.1544346900318834,0.75,100000,random,"{'elasticnet__alpha': 2.1544346900318834, 'elasticnet__l1_ratio': 0.75, 'elasticnet__max_iter': 100000, 'elasticnet__selection': 'random'}",-5.076010175849262,-8.66572705328171,-7.691540598181769,-6.9107976609370425,-7.086018872062446,1.3165268635974046,41,-7.726239522130179,-6.53281723668639,-6.85434658366864,-7.124846016880564,-7.0595623398414435,0.4382620033015636
38,0.005819797515869141,0.0027479555128058705,0.0018142461776733398,5.59106818440549e-05,2.1544346900318834,1.0,100000,cyclic,"{'elasticnet__alpha': 2.1544346900318834, 'elasticnet__l1_ratio': 1.0, 'elasticnet__max_iter': 100000, 'elasticnet__selection': 'cyclic'}",-5.076010175849262,-8.66572705328171,-7.691540598181769,-6.9107976609370425,-7.086018872062446,1.3165268635974046,41,-7.726239522130179,-6.53281723668639,-6.85434658366864,-7.124846016880564,-7.0595623398414435,0.4382620033015636
39,0.005785167217254639,0.002752506713992914,0.0036461949348449707,0.002199610862467481,2.1544346900318834,1.0,100000,random,"{'elasticnet__alpha': 2.1544346900318834, 'elasticnet__l1_ratio': 1.0, 'elasticnet__max_iter': 100000, 'elasticnet__selection': 'random'}",-5.076010175849262,-8.66572705328171,-7.691540598181769,-6.9107976609370425,-7.086018872062446,1.3165268635974046,41,-7.726239522130179,-6.53281723668639,-6.85434658366864,-7.124846016880564,-7.0595623398414435,0.4382620033015636
