,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_ridge__alpha,param_ridge__max_iter,param_ridge__solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,mean_train_score,std_train_score
3,0.0642930269241333,0.017586199730377793,0.004667937755584717,0.0022729983158990487,10.0,100000,saga,"{'ridge__alpha': 10.0, 'ridge__max_iter': 100000, 'ridge__solver': 'saga'}",-3.915016747184188,-7.673115713760223,-6.303874874926285,-5.486767741503665,-5.84469376934359,1.3606743315176202,4,-5.862037038368881,-4.7281435267672025,-5.17611481913039,-5.486566997875004,-5.31321559553537,0.41604135411954135
4,0.029003262519836426,0.006466810190103243,0.002092719078063965,8.072880901484789e-05,21.544346900318832,100000,saga,"{'ridge__alpha': 21.544346900318832, 'ridge__max_iter': 100000, 'ridge__solver': 'saga'}",-3.980868263386804,-7.748365426953318,-6.413885057471342,-5.606564098945159,-5.937420711689156,1.3641941408482885,5,-6.1135159104692365,-4.942465507335325,-5.3827263437364214,-5.6868087025840985,-5.53137911603127,0.4277728629286572
5,0.028799474239349365,0.005994773837846546,0.0035862326622009277,0.0020731394087388825,46.41588833612777,100000,saga,"{'ridge__alpha': 46.41588833612777, 'ridge__max_iter': 100000, 'ridge__solver': 'saga'}",-4.100175938964066,-7.8394065485157585,-6.5585839107389585,-5.764140006874721,-6.065576601273376,1.3549162956405223,6,-6.379362660638972,-5.183572773735781,-5.616982498361167,-5.914228755230419,-5.773536671991585,0.43571378258351984
6,0.02081453800201416,0.008429906119240573,0.0033439993858337402,0.0010945411934678022,100.0,100000,saga,"{'ridge__alpha': 100.0, 'ridge__max_iter': 100000, 'ridge__solver': 'saga'}",-4.246575751984055,-7.939676564764732,-6.727157989522234,-5.956938222975162,-6.217587132311546,1.3395967851562742,7,-6.639242627396894,-5.432781669412118,-5.854984399333928,-6.145807923967553,-6.0182041550276235,0.4391274534014522
7,0.015444755554199219,0.005625388289997224,0.002094447612762451,5.681979827278066e-05,215.44346900318823,100000,saga,"{'ridge__alpha': 215.44346900318823, 'ridge__max_iter': 100000, 'ridge__solver': 'saga'}",-4.413466803363234,-8.057402434921777,-6.911217303690559,-6.165872878515017,-6.386989855122647,1.3237048913705323,8,-6.888693553289341,-5.681007796230412,-6.0855945893728505,-6.364702771297521,-6.254999677547531,0.4392514828228906
8,0.010698437690734863,0.004052182936943437,0.0020176172256469727,9.169209386562467e-05,464.15888336127773,100000,saga,"{'ridge__alpha': 464.15888336127773, 'ridge__max_iter': 100000, 'ridge__solver': 'saga'}",-4.590443883745493,-8.196753838257614,-7.107445274737372,-6.369411105957068,-6.5660135256743875,1.3128204587382852,9,-7.121565450968076,-5.91952941546457,-6.305180230587301,-6.568849323242874,-6.478781105065705,0.4370880103606536
9,0.010515332221984863,0.002467412849587929,0.0020343661308288574,5.4207434278170883e-05,1000.0,100000,saga,"{'ridge__alpha': 1000.0, 'ridge__max_iter': 100000, 'ridge__solver': 'saga'}",-4.755039708571421,-8.342332075097332,-7.299245272385086,-6.550728707411964,-6.73683644086645,1.309205322122107,10,-7.326485754274793,-6.130954058967428,-6.498588617495044,-6.7534567987897525,-6.677371307381755,0.43522224975748386
0,0.0990833044052124,0.005835996933564523,0.002721428871154785,0.0011117173993885553,1.0,100000,saga,"{'ridge__alpha': 1.0, 'ridge__max_iter': 100000, 'ridge__solver': 'saga'}",-6.235744423960801,-7.174884599855744,-5.776339564275024,-5.401750792347887,-6.147179845109864,0.6627985618092452,3,-5.261261525285235,-5.030489775896827,-5.509150477069031,-5.507502956314041,-5.327101183641283,0.19874602677638925
1,0.10443663597106934,0.029529579974177482,0.0033341646194458008,0.002095366369198479,2.154434690031884,100000,saga,"{'ridge__alpha': 2.154434690031884, 'ridge__max_iter': 100000, 'ridge__solver': 'saga'}",-6.248908396418338,-7.177205598227072,-5.739730570278092,-5.371481967797304,-6.134331633180202,0.6779313299414962,1,-5.328556571551749,-5.07601761786128,-5.556908868161431,-5.563505429869254,-5.381247121860929,0.2000103023316271
2,0.06879198551177979,0.0062807439537188176,0.0031459927558898926,0.0017062648395396389,4.641588833612778,100000,saga,"{'ridge__alpha': 4.641588833612778, 'ridge__max_iter': 100000, 'ridge__solver': 'saga'}",-6.30053457034545,-7.194440902109831,-5.693176262189524,-5.354507446781236,-6.13566479535651,0.6989620504995327,2,-5.425796932039385,-5.154716067088318,-5.63832639135453,-5.656182248532027,-5.468755409753564,0.2027000723018759
