,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_svr__C,param_svr__gamma,param_svr__kernel,param_svr__max_iter,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,mean_train_score,std_train_score
63,0.034749388694763184,0.007346652462167233,0.012658238410949707,0.00382740614442163,10.0,scale,sigmoid,500000,"{'svr__C': 10.0, 'svr__gamma': 'scale', 'svr__kernel': 'sigmoid', 'svr__max_iter': 500000}",-1130.7213328412554,-1644.6163212167853,-780.7684422801099,-803.4895961524969,-1089.898923122662,348.91611371682063,94,-1269.8557122571353,-1387.9919817646453,-817.9481287244066,-980.2938146952564,-1114.0224093603608,226.3220391280453
64,0.08525264263153076,0.01675619962154336,0.00783628225326538,0.0025645568762423664,10.0,auto,linear,500000,"{'svr__C': 10.0, 'svr__gamma': 'auto', 'svr__kernel': 'linear', 'svr__max_iter': 500000}",-4.020631194334142,-6.339262689139281,-7.754394405058672,-37.55642431959591,-13.917678152032002,13.712770565528606,14,-16.167506677048873,-15.421793686641411,-15.047240037386173,-5.141984365338492,-12.944631191603738,4.522873032578246
65,0.029173195362091064,0.006098907660444635,0.011978089809417725,0.003923545640104766,10.0,auto,poly,500000,"{'svr__C': 10.0, 'svr__gamma': 'auto', 'svr__kernel': 'poly', 'svr__max_iter': 500000}",-5.057908143815755,-7.901904354942133,-8.988689961571568,-38.67890035769689,-15.156850704506587,13.65609675398708,72,-18.51755552608345,-17.465092269342247,-17.06350551118175,-7.329658169814964,-15.0939528691056,4.514054912037573
66,0.03428077697753906,0.00534621757918329,0.020544767379760742,0.0014840240209489733,10.0,auto,rbf,500000,"{'svr__C': 10.0, 'svr__gamma': 'auto', 'svr__kernel': 'rbf', 'svr__max_iter': 500000}",-3.9570231571324865,-6.627722255827011,-8.016470442353134,-36.82105584666253,-13.85556792549379,13.339149489667067,8,-16.82125917142541,-15.710601054984862,-15.45681074683577,-5.859348247969571,-13.462004805303904,4.419287625385318
67,0.03434652090072632,0.0044573347784264234,0.007744491100311279,0.001464229854319898,10.0,auto,sigmoid,500000,"{'svr__C': 10.0, 'svr__gamma': 'auto', 'svr__kernel': 'sigmoid', 'svr__max_iter': 500000}",-4.3429075299837665,-7.330129201686708,-8.181733836135097,-37.12557602966723,-14.2450866493682,13.286749314969192,33,-17.271654681852237,-16.436563976155686,-15.880742797767175,-6.1800977907328045,-13.942264811626975,4.508749798811597
68,0.08477985858917236,0.01882534775125705,0.008667230606079102,0.002737862741328044,10.0,0.01,linear,500000,"{'svr__C': 10.0, 'svr__gamma': 0.01, 'svr__kernel': 'linear', 'svr__max_iter': 500000}",-4.020631194334142,-6.339262689139281,-7.754394405058672,-37.55642431959591,-13.917678152032002,13.712770565528606,14,-16.167506677048873,-15.421793686641411,-15.047240037386173,-5.141984365338492,-12.944631191603738,4.522873032578246
69,0.03550601005554199,0.005955701410243114,0.010184943675994873,0.0038649436254345132,10.0,0.01,poly,500000,"{'svr__C': 10.0, 'svr__gamma': 0.01, 'svr__kernel': 'poly', 'svr__max_iter': 500000}",-5.113377727290772,-7.961258200994404,-9.060682048395485,-38.71925677350076,-15.213643687545355,13.647208974666762,76,-18.573035431154903,-17.523256879983204,-17.148587563531695,-7.389739033647418,-15.158654727079306,4.515673335149622
70,0.033521950244903564,0.007418640199022266,0.01819026470184326,0.0038096464310360886,10.0,0.01,rbf,500000,"{'svr__C': 10.0, 'svr__gamma': 0.01, 'svr__kernel': 'rbf', 'svr__max_iter': 500000}",-3.9912933598795717,-6.741605657361058,-8.085708360559053,-37.0070307773472,-13.956409538786719,13.389858170591006,19,-16.973203236932488,-15.902892847149198,-15.618325198833649,-5.990673669624051,-13.621273738134848,4.434396494049823
71,0.03244203329086304,0.0036208298296926643,0.009995996952056885,0.004462900962573716,10.0,0.01,sigmoid,500000,"{'svr__C': 10.0, 'svr__gamma': 0.01, 'svr__kernel': 'sigmoid', 'svr__max_iter': 500000}",-4.253404581910995,-7.080451233380928,-8.17575805689064,-37.14371878829472,-14.16333316511932,13.344690705012257,29,-17.361227020342355,-16.346740799044145,-15.925997916204533,-6.229434174766649,-13.965849977589421,4.496986095752465
72,0.073292076587677,0.01876827295651923,0.010606229305267334,0.0032122149424242546,10.0,0.1,linear,500000,"{'svr__C': 10.0, 'svr__gamma': 0.1, 'svr__kernel': 'linear', 'svr__max_iter': 500000}",-4.020631194334142,-6.339262689139281,-7.754394405058672,-37.55642431959591,-13.917678152032002,13.712770565528606,14,-16.167506677048873,-15.421793686641411,-15.047240037386173,-5.141984365338492,-12.944631191603738,4.522873032578246
