,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_kneighborsregressor__n_neighbors,param_kneighborsregressor__p,param_kneighborsregressor__weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,mean_train_score,std_train_score
57,0.006075739860534668,0.003059388770073476,0.0134505033493042,0.00222666787246396,37,1,distance,"{'kneighborsregressor__n_neighbors': 37, 'kneighborsregressor__p': 1, 'kneighborsregressor__weights': 'distance'}",-6.4165783213881395,-7.5282209446070265,-5.971510207325671,-37.66704729329214,-14.395839191653245,13.447594857156348,54,-0.41602438650075424,-0.44020947124542126,-0.4904322200854701,-0.4910484526482221,-0.4594286326199669,0.03245897487394038
58,0.006667792797088623,0.003711187356761656,0.003706037998199463,0.00019045200645695286,37,2,uniform,"{'kneighborsregressor__n_neighbors': 37, 'kneighborsregressor__p': 2, 'kneighborsregressor__weights': 'uniform'}",-4.907517258384305,-6.537119222211375,-6.404480197796502,-37.48007050834619,-13.832296796684592,13.668037227369473,23,-16.018492688880155,-15.39622565522279,-15.413397535539698,-5.67243515701528,-13.12513775916448,4.310111711463833
59,0.010082721710205078,0.005009248881963405,0.009850263595581055,0.006143517861397893,37,2,distance,"{'kneighborsregressor__n_neighbors': 37, 'kneighborsregressor__p': 2, 'kneighborsregressor__weights': 'distance'}",-5.67359606200492,-7.597528656970434,-5.928300119770939,-37.48838206444742,-14.17195172579843,13.482013974318708,40,-0.41602438650075424,-0.44020947124542126,-0.49043222008547016,-0.4910484526482221,-0.4594286326199669,0.032458974873940394
60,0.006053924560546875,0.004505155177488276,0.014793992042541504,0.003926689060050031,39,1,uniform,"{'kneighborsregressor__n_neighbors': 39, 'kneighborsregressor__p': 1, 'kneighborsregressor__weights': 'uniform'}",-4.870055541012614,-6.41983168119446,-6.334296742986819,-37.48269355260916,-13.776719379450764,13.700504767470255,17,-15.98759972588884,-15.36058249501846,-15.434925118292622,-5.629776855209858,-13.103221048602446,4.321589205203131
61,0.006062030792236328,0.0027132439170357544,0.013882815837860107,0.0020057013192404426,39,1,distance,"{'kneighborsregressor__n_neighbors': 39, 'kneighborsregressor__p': 1, 'kneighborsregressor__weights': 'distance'}",-6.315938723633447,-7.521784973194504,-5.952376303337041,-37.64796655722998,-14.359516639348742,13.458135348475738,53,-0.41602438650075413,-0.44020947124542126,-0.4904322200854701,-0.4910484526482221,-0.4594286326199669,0.032458974873940415
62,0.006731986999511719,0.001933144064013254,0.0037271976470947266,6.775053132426104e-05,39,2,uniform,"{'kneighborsregressor__n_neighbors': 39, 'kneighborsregressor__p': 2, 'kneighborsregressor__weights': 'uniform'}",-4.886742876836426,-6.549379530505335,-6.382407093017266,-37.50393224608567,-13.830615436611174,13.683119061248298,22,-16.06536195731553,-15.45733879229252,-15.529141809234819,-5.664108863014569,-13.178987855464358,4.3450738867356735
63,0.004510283470153809,0.001972741860713419,0.00473475456237793,0.0017482335151264281,39,2,distance,"{'kneighborsregressor__n_neighbors': 39, 'kneighborsregressor__p': 2, 'kneighborsregressor__weights': 'distance'}",-5.591659483932049,-7.590522627255955,-5.890120906562344,-37.45057390683221,-14.13071923114564,13.485295656995062,39,-0.41602438650075424,-0.44020947124542126,-0.4904322200854701,-0.4910484526482221,-0.4594286326199669,0.03245897487394038
64,0.0042994022369384766,0.0016676853340685603,0.014870703220367432,0.001984593283484856,42,1,uniform,"{'kneighborsregressor__n_neighbors': 42, 'kneighborsregressor__p': 1, 'kneighborsregressor__weights': 'uniform'}",-4.93626225378016,-6.417638850486432,-6.362508013574094,-37.46634246372933,-13.795687895392504,13.679154590628881,20,-16.021154084510727,-15.446491944182803,-15.585026947845808,-5.666378003925582,-13.17976274511623,4.343035003300567
65,0.0038679838180541992,0.0009057535705319792,0.01514124870300293,0.0012217601026868808,42,1,distance,"{'kneighborsregressor__n_neighbors': 42, 'kneighborsregressor__p': 1, 'kneighborsregressor__weights': 'distance'}",-6.1795320336900215,-7.531167568130002,-5.926283963162844,-37.545236059636174,-14.29555490615476,13.437067511002523,50,-0.41602438650075413,-0.44020947124542126,-0.49043222008547016,-0.4910484526482221,-0.4594286326199669,0.03245897487394043
66,0.008516430854797363,0.0012339614066247848,0.006955981254577637,0.0022523518029563426,42,2,uniform,"{'kneighborsregressor__n_neighbors': 42, 'kneighborsregressor__p': 2, 'kneighborsregressor__weights': 'uniform'}",-5.050973368287407,-6.583300782156182,-6.386533612077702,-37.48336386290629,-13.876042906356894,13.642436478287925,27,-16.099236054857844,-15.518364747252747,-15.715895544915405,-5.717562094945504,-13.262764610492876,4.361227883684026
