,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_ridge__alpha,param_ridge__max_iter,param_ridge__solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,mean_train_score,std_train_score
0,0.11332613229751587,0.04987882564148477,0.005552053451538086,0.0042386324583982135,1.0,100000,saga,"{'ridge__alpha': 1.0, 'ridge__max_iter': 100000, 'ridge__solver': 'saga'}",-38.41350136387429,-54.75054458291668,-6.048572007946876,-6.492328290444363,-26.42623656129555,20.967658750742338,3,-4.538199307467841,-14.590818434624502,-14.704123769312343,-14.489477311214923,-12.080654705654904,4.355300553719006
1,0.1154165267944336,0.05155972949477427,0.004475533962249756,0.0015900498203062613,2.154434690031884,100000,saga,"{'ridge__alpha': 2.154434690031884, 'ridge__max_iter': 100000, 'ridge__solver': 'saga'}",-38.455708737068335,-59.550676576437745,-6.003747120245942,-6.193194294082303,-27.550831681958584,22.711956899172016,4,-4.581212070335552,-14.660192510542576,-14.763004336291633,-14.58555720633098,-12.147491530875186,4.36884774744264
2,0.0799528956413269,0.03786753930491404,0.004866182804107666,0.0023666681193604887,4.641588833612778,100000,saga,"{'ridge__alpha': 4.641588833612778, 'ridge__max_iter': 100000, 'ridge__solver': 'saga'}",-38.569358651019115,-66.67853145144038,-5.952453783598101,-5.7857944775733205,-29.24653459090773,25.402214296915176,5,-4.651864945124295,-14.772947690056288,-14.870459438534418,-14.758007568363723,-12.26331991051968,4.394687739498685
3,0.06838500499725342,0.022244908604086778,0.007136821746826172,0.0030941901698883947,10.0,100000,saga,"{'ridge__alpha': 10.0, 'ridge__max_iter': 100000, 'ridge__solver': 'saga'}",-38.79874585771895,-76.52449473309127,-5.919486266314264,-5.334969714686476,-31.644424142952744,29.23766781244753,7,-4.755729501894587,-14.96582850419699,-15.04263117158819,-15.044483055981777,-12.452168058415387,4.443654224799211
4,0.04890620708465576,0.021361818573162012,0.0056455135345458984,0.001759937422823068,21.544346900318832,100000,saga,"{'ridge__alpha': 21.544346900318832, 'ridge__max_iter': 100000, 'ridge__solver': 'saga'}",-39.146205827259145,-86.76226285576885,-5.9485818336549725,-4.979668636647234,-34.20917978833255,33.31376023854228,8,-4.89521719677601,-15.285778909514347,-15.31776539254356,-15.45369687974009,-12.738114594643502,4.5285378004655055
5,0.042436957359313965,0.02079684677473313,0.00434643030166626,0.0032240530585672606,46.41588833612777,100000,saga,"{'ridge__alpha': 46.41588833612777, 'ridge__max_iter': 100000, 'ridge__solver': 'saga'}",-39.54733521333479,-91.89334818043947,-6.0672506339706915,-4.8142463625250045,-35.580545097567494,35.37112842001834,10,-5.068302090277851,-15.732629885913985,-15.691995207104247,-15.961791766017168,-13.113679737328312,4.646139638293392
6,0.024839282035827637,0.00907687952623327,0.0040822625160217285,0.0018182870456660324,100.0,100000,saga,"{'ridge__alpha': 100.0, 'ridge__max_iter': 100000, 'ridge__solver': 'saga'}",-39.91545620419102,-86.14445020759402,-6.2538321898077625,-4.833751575717213,-34.2868725443275,33.06896959926149,9,-5.2662064559505595,-16.230685068090963,-16.10709052541647,-16.489916377851234,-13.523474606827307,4.769337317508633
7,0.019115746021270752,0.004703211429621068,0.004679501056671143,0.0017094247787425747,215.44346900318823,100000,saga,"{'ridge__alpha': 215.44346900318823, 'ridge__max_iter': 100000, 'ridge__solver': 'saga'}",-40.20641983302776,-68.13434742926866,-6.4606364934797,-4.963132557816211,-29.941134078398083,26.16931392149434,6,-5.474161146792851,-16.679661955526615,-16.49046316779649,-16.941077052730947,-13.896340830711726,4.86517924832926
8,0.014035999774932861,0.003369902521401199,0.0021649599075317383,5.602697106917574e-05,464.15888336127773,100000,saga,"{'ridge__alpha': 464.15888336127773, 'ridge__max_iter': 100000, 'ridge__solver': 'saga'}",-40.443542690524545,-44.07033980083183,-6.652717082472838,-5.12462600056073,-24.072806393597485,18.23729284386529,2,-5.678239050012265,-17.04311556688441,-16.804006915708793,-17.288521231893945,-14.203470691124854,4.925024950432427
9,0.010367989540100098,0.0030223107669902277,0.003688514232635498,0.0009139885514752698,1000.0,100000,saga,"{'ridge__alpha': 1000.0, 'ridge__max_iter': 100000, 'ridge__solver': 'saga'}",-40.64451065670339,-23.572665198579372,-6.818237847687984,-5.275310704165787,-19.077681101784133,14.37125948355637,1,-5.858306107018598,-17.33193361726416,-17.04965244617733,-17.548429469259244,-14.447080409929832,4.961883947803404
0,0.12535977363586426,0.014622936733442005,0.003700733184814453,0.0015392542308215258,1.0,100000,saga,"{'ridge__alpha': 1.0, 'ridge__max_iter': 100000, 'ridge__solver': 'saga'}",-4.07367363163565,-7.610375618968391,-6.167265866613574,-5.341720288053314,-5.798258851317732,1.2847718665809555,3,-5.451112780549419,-4.4113351653303985,-4.839211697539809,-5.156647844326772,-4.9645768719366,0.3858112432539673
1,0.11259746551513672,0.04471819870260857,0.006588339805603027,0.0029041795721377432,2.154434690031884,100000,saga,"{'ridge__alpha': 2.154434690031884, 'ridge__max_iter': 100000, 'ridge__solver': 'saga'}",-3.994415976065659,-7.610501264241165,-6.186640545164502,-5.355061574897929,-5.786654840092314,1.3119448573998214,1,-5.5242126306859065,-4.463055892741586,-4.907501893673513,-5.22400862497487,-5.029694760518968,0.3931655201750835
2,0.0783732533454895,0.020119739147093158,0.005096018314361572,0.0017607236471446563,4.641588833612778,100000,saga,"{'ridge__alpha': 4.641588833612778, 'ridge__max_iter': 100000, 'ridge__solver': 'saga'}",-3.9256843829484076,-7.626665128485411,-6.230063360538288,-5.402980928791606,-5.796348450190928,1.3409222410028798,2,-5.658639749061473,-4.563479530558245,-5.0169726790855105,-5.332233085239782,-5.142831260986252,0.4041720727576938
3,0.06123429536819458,0.01215606420072582,0.005994737148284912,0.0018190503052455888,10.0,100000,saga,"{'ridge__alpha': 10.0, 'ridge__max_iter': 100000, 'ridge__solver': 'saga'}",-3.915016747184188,-7.673115713760223,-6.303874874926285,-5.486767741503665,-5.84469376934359,1.3606743315176202,4,-5.862037038368881,-4.7281435267672025,-5.17611481913039,-5.486566997875004,-5.31321559553537,0.41604135411954135
4,0.03467649221420288,0.006785962117466815,0.004918456077575684,0.0016829614080646216,21.544346900318832,100000,saga,"{'ridge__alpha': 21.544346900318832, 'ridge__max_iter': 100000, 'ridge__solver': 'saga'}",-3.980868263386804,-7.748365426953318,-6.413885057471342,-5.606564098945159,-5.937420711689156,1.3641941408482885,5,-6.1135159104692365,-4.942465507335325,-5.3827263437364214,-5.6868087025840985,-5.53137911603127,0.4277728629286572
5,0.023273766040802002,0.005729663733582192,0.00431978702545166,0.0023933248746453644,46.41588833612777,100000,saga,"{'ridge__alpha': 46.41588833612777, 'ridge__max_iter': 100000, 'ridge__solver': 'saga'}",-4.100175938964066,-7.8394065485157585,-6.5585839107389585,-5.764140006874721,-6.065576601273376,1.3549162956405223,6,-6.379362660638972,-5.183572773735781,-5.616982498361167,-5.914228755230419,-5.773536671991585,0.43571378258351984
6,0.01684272289276123,0.0034524458208891476,0.0035004615783691406,0.0015946019287573757,100.0,100000,saga,"{'ridge__alpha': 100.0, 'ridge__max_iter': 100000, 'ridge__solver': 'saga'}",-4.246575751984055,-7.939676564764732,-6.727157989522234,-5.956938222975162,-6.217587132311546,1.3395967851562742,7,-6.639242627396894,-5.432781669412118,-5.854984399333928,-6.145807923967553,-6.0182041550276235,0.4391274534014522
7,0.01133650541305542,0.002153413232427623,0.005019009113311768,0.001708873879775032,215.44346900318823,100000,saga,"{'ridge__alpha': 215.44346900318823, 'ridge__max_iter': 100000, 'ridge__solver': 'saga'}",-4.413466803363234,-8.057402434921777,-6.911217303690559,-6.165872878515017,-6.386989855122647,1.3237048913705323,8,-6.888693553289341,-5.681007796230412,-6.0855945893728505,-6.364702771297521,-6.254999677547531,0.4392514828228906
8,0.011290967464447021,0.003074689522405665,0.0031737685203552246,0.002078457003169142,464.15888336127773,100000,saga,"{'ridge__alpha': 464.15888336127773, 'ridge__max_iter': 100000, 'ridge__solver': 'saga'}",-4.590443883745493,-8.196753838257614,-7.107445274737372,-6.369411105957068,-6.5660135256743875,1.3128204587382852,9,-7.121565450968076,-5.91952941546457,-6.305180230587301,-6.568849323242874,-6.478781105065705,0.4370880103606536
9,0.00959932804107666,0.0019874147773107473,0.0020089149475097656,7.29065926666121e-05,1000.0,100000,saga,"{'ridge__alpha': 1000.0, 'ridge__max_iter': 100000, 'ridge__solver': 'saga'}",-4.755039708571421,-8.342332075097332,-7.299245272385086,-6.550728707411964,-6.73683644086645,1.309205322122107,10,-7.326485754274793,-6.130954058967428,-6.498588617495044,-6.7534567987897525,-6.677371307381755,0.43522224975748386
0,0.09766697883605957,0.003318509619213305,0.0036190152168273926,0.0013855760326376843,1.0,100000,saga,"{'ridge__alpha': 1.0, 'ridge__max_iter': 100000, 'ridge__solver': 'saga'}",-6.235744423960801,-7.174884599855744,-5.776339564275024,-5.401750792347887,-6.147179845109864,0.6627985618092452,3,-5.261261525285235,-5.030489775896827,-5.509150477069031,-5.507502956314041,-5.327101183641283,0.19874602677638925
1,0.08540469408035278,0.008937915104453863,0.0020172595977783203,7.388649081992304e-05,2.154434690031884,100000,saga,"{'ridge__alpha': 2.154434690031884, 'ridge__max_iter': 100000, 'ridge__solver': 'saga'}",-6.248908396418338,-7.177205598227072,-5.739730570278092,-5.371481967797304,-6.134331633180202,0.6779313299414962,1,-5.328556571551749,-5.07601761786128,-5.556908868161431,-5.563505429869254,-5.381247121860929,0.2000103023316271
2,0.06207925081253052,0.0033739869152811883,0.0031967759132385254,0.0018615503975463084,4.641588833612778,100000,saga,"{'ridge__alpha': 4.641588833612778, 'ridge__max_iter': 100000, 'ridge__solver': 'saga'}",-6.30053457034545,-7.194440902109831,-5.693176262189524,-5.354507446781236,-6.13566479535651,0.6989620504995327,2,-5.425796932039385,-5.154716067088318,-5.63832639135453,-5.656182248532027,-5.468755409753564,0.2027000723018759
3,0.04711747169494629,0.007000954962454719,0.0028687119483947754,0.0015079343482404138,10.0,100000,saga,"{'ridge__alpha': 10.0, 'ridge__max_iter': 100000, 'ridge__solver': 'saga'}",-6.404358491156873,-7.242981978460254,-5.6605312023761405,-5.3640289893313255,-6.167975165331148,0.7272113782193329,4,-5.558931236100411,-5.2782818540236525,-5.768702847333219,-5.800370995522248,-5.6015717332448824,0.2084397478781569
4,0.03865623474121094,0.009221474603083249,0.002428591251373291,0.0005286002930902649,21.544346900318832,100000,saga,"{'ridge__alpha': 21.544346900318832, 'ridge__max_iter': 100000, 'ridge__solver': 'saga'}",-6.55264407639678,-7.335055515627377,-5.6757571998856235,-5.422453188351729,-6.246477495065377,0.755559030744755,5,-5.7324171040600325,-5.453396176622863,-5.957607278200426,-6.006887666367183,-5.787577056312626,0.21893315230935714
5,0.02888929843902588,0.010747886849700341,0.002074718475341797,5.3720420066715435e-05,46.41588833612777,100000,saga,"{'ridge__alpha': 46.41588833612777, 'ridge__max_iter': 100000, 'ridge__solver': 'saga'}",-6.713111232096264,-7.473191897825577,-5.76124721908945,-5.540946823024972,-6.372124293009065,0.7734094564094394,6,-5.94265564320544,-5.680408087563213,-6.209031249302404,-6.264354448056961,-6.0241123570320045,0.2327440010489282
6,0.015363931655883789,0.004046416380216074,0.0019336938858032227,0.00011517721234722138,100.0,100000,saga,"{'ridge__alpha': 100.0, 'ridge__max_iter': 100000, 'ridge__solver': 'saga'}",-6.87021717273387,-7.635457084949101,-5.906374891198298,-5.710835803915587,-6.530721238199214,0.7742285300580812,7,-6.183609236921665,-5.9325875399655414,-6.484583139195655,-6.5436169300469915,-6.286099211532464,0.24555342683380335
7,0.017686963081359863,0.004498841390500882,0.0032927989959716797,0.0021861728005036158,215.44346900318823,100000,saga,"{'ridge__alpha': 215.44346900318823, 'ridge__max_iter': 100000, 'ridge__solver': 'saga'}",-7.037856495321876,-7.805038098875546,-6.081397821261811,-5.919781645535272,-6.711018515248627,0.7625909645523945,8,-6.443358133466357,-6.189695012461272,-6.755925912081524,-6.817045499825921,-6.551506139458768,0.25243904123702243
8,0.012091457843780518,0.0010956278441516967,0.003516256809234619,0.0016929338721496223,464.15888336127773,100000,saga,"{'ridge__alpha': 464.15888336127773, 'ridge__max_iter': 100000, 'ridge__solver': 'saga'}",-7.225108881760022,-7.9770747819105665,-6.253977545999998,-6.148278796457533,-6.90111000153203,0.7497017275791856,9,-6.698802586250311,-6.440490293182601,-7.009727199298196,-7.0676541066948495,-6.80416854635649,0.25250884028422454
9,0.009437978267669678,0.0029148253072974607,0.0019542574882507324,9.808677329649328e-05,1000.0,100000,saga,"{'ridge__alpha': 1000.0, 'ridge__max_iter': 100000, 'ridge__solver': 'saga'}",-7.407847238385891,-8.136036841745048,-6.401840674320643,-6.3595163523160885,-7.076310276691918,0.7418962063849539,10,-6.916778061007301,-6.659889701552735,-7.231391650414796,-7.275053477463056,-7.020778222609472,0.2500352372399541
0,0.10595256090164185,0.012915790564317702,0.003126800060272217,0.0016922925415994877,1.0,100000,saga,"{'ridge__alpha': 1.0, 'ridge__max_iter': 100000, 'ridge__solver': 'saga'}",-6.226448927832868,-7.323246828071568,-6.791582740376747,-36.7878183380414,-14.282274208580645,12.999368814211115,8,-14.34155480282155,-13.93090809437038,-14.252826692544454,-4.931461596972121,-11.864187796677125,4.005526445018082
1,0.09593617916107178,0.017202821309639488,0.0028009414672851562,0.0007958377171800018,2.154434690031884,100000,saga,"{'ridge__alpha': 2.154434690031884, 'ridge__max_iter': 100000, 'ridge__solver': 'saga'}",-5.970154644546486,-7.218840954854837,-6.671025518479399,-36.72508236030472,-14.146275869546361,13.043390885247392,7,-14.442286411753502,-14.001730564851504,-14.3284810043962,-4.98608064647803,-11.93964465686981,4.01789763393317
2,0.0583881139755249,0.008258545512031852,0.004268169403076172,0.0022884750915947555,4.641588833612778,100000,saga,"{'ridge__alpha': 4.641588833612778, 'ridge__max_iter': 100000, 'ridge__solver': 'saga'}",-5.6267196005058135,-7.08122059898132,-6.557461882581706,-36.67945420525093,-13.986214071829941,13.112299469568164,5,-14.615401166242526,-14.14073970822568,-14.456340225912902,-5.087562273921314,-12.075010843575607,4.037820757366991
3,0.0486292839050293,0.011419838281212348,0.0032996535301208496,0.0013125172358275498,10.0,100000,saga,"{'ridge__alpha': 10.0, 'ridge__max_iter': 100000, 'ridge__solver': 'saga'}",-5.2456594821410345,-6.931492155375621,-6.4973623729324785,-36.72725399871143,-13.85044200229014,13.222428449026125,3,-14.887135887801524,-14.370697587070463,-14.652126242056122,-5.245909493812698,-12.2889673026852,4.070419648066423
4,0.03307962417602539,0.0026339701028683053,0.005205273628234863,0.0018310701590309073,21.544346900318832,100000,saga,"{'ridge__alpha': 21.544346900318832, 'ridge__max_iter': 100000, 'ridge__solver': 'saga'}",-4.927006888102965,-6.808786939013915,-6.517490205799949,-36.92608954214658,-13.794843393765852,13.374022645407814,1,-15.291702511695366,-14.721362825359607,-14.944425922759189,-5.453421775648967,-12.602728258865783,4.132654295328026
5,0.024756968021392822,0.010192641837162349,0.0028824210166931152,0.0013739465762154844,46.41588833612777,100000,saga,"{'ridge__alpha': 46.41588833612777, 'ridge__max_iter': 100000, 'ridge__solver': 'saga'}",-4.775113271573341,-6.763888769552605,-6.626033777524113,-37.22467221270298,-13.84742700783826,13.51968476017168,2,-15.80717854951636,-15.183085578133381,-15.33911844661076,-5.6814237764281215,-13.002701587672155,4.233176050659873
6,0.017908871173858643,0.005664206333556529,0.003004610538482666,0.0012301076724562567,100.0,100000,saga,"{'ridge__alpha': 100.0, 'ridge__max_iter': 100000, 'ridge__solver': 'saga'}",-4.800053390038267,-6.8105966854969,-6.80297189614898,-37.50471024849336,-13.979583055044376,13.60692367538875,4,-16.33962482454089,-15.675894625929228,-15.773853346627284,-5.908891139010871,-13.424565984027069,4.346566696416527
7,0.01330578327178955,0.005710052026121485,0.0031402111053466797,0.0012075760403724657,215.44346900318823,100000,saga,"{'ridge__alpha': 215.44346900318823, 'ridge__max_iter': 100000, 'ridge__solver': 'saga'}",-4.934441854088618,-6.918921269134413,-7.013636022098828,-37.70455266840428,-14.142887953431535,13.628641269964712,6,-16.792125116248787,-16.11471382782056,-16.16336710200255,-6.133048001870501,-13.8008135119856,4.435041351814923
8,0.01458066701889038,0.002812669987477832,0.00243532657623291,0.0006516417354493172,464.15888336127773,100000,saga,"{'ridge__alpha': 464.15888336127773, 'ridge__max_iter': 100000, 'ridge__solver': 'saga'}",-5.112330220091526,-7.050951403080013,-7.231230439355805,-37.852256957396726,-14.311692254981018,13.61651337162507,9,-17.139808533972293,-16.465634203214865,-16.471164266420445,-6.358159154584442,-14.108691539548012,4.483159560769777
9,0.009631812572479248,0.003936581184208942,0.0018982291221618652,5.745847566353258e-05,1000.0,100000,saga,"{'ridge__alpha': 1000.0, 'ridge__max_iter': 100000, 'ridge__solver': 'saga'}",-5.292845086355089,-7.184220857547193,-7.438303762233437,-37.98671168198862,-14.475520347031086,13.59947708956775,10,-17.40054410746409,-16.74142796763767,-16.704443701357324,-6.570726044881994,-14.354285455335269,4.502365545663532
0,0.09126162528991699,0.008809452344892985,0.002892732620239258,0.0014542997459795384,1.0,100000,saga,"{'ridge__alpha': 1.0, 'ridge__max_iter': 100000, 'ridge__solver': 'saga'}",-6.878884580618732,-8.869813103354726,-4.963792171685899,-38.148094768987214,-14.715146156161643,13.59932810105376,8,-14.345117482137491,-13.747048976956444,-14.827123764461755,-4.856093583792637,-11.943845951837082,4.109962611980924
1,0.08205020427703857,0.005624388954063963,0.0025776028633117676,0.0009769724487266832,2.154434690031884,100000,saga,"{'ridge__alpha': 2.154434690031884, 'ridge__max_iter': 100000, 'ridge__solver': 'saga'}",-6.787518739414486,-8.606755865872362,-4.881133697673388,-38.03121144907134,-14.576654938007895,13.605418873597474,6,-14.413663939068012,-13.846580018362804,-14.920455260318931,-4.91680460366386,-12.024375955353403,4.121103328490397
2,0.05935072898864746,0.008352299580051565,0.0025069713592529297,0.00071935802480677,4.641588833612778,100000,saga,"{'ridge__alpha': 4.641588833612778, 'ridge__max_iter': 100000, 'ridge__solver': 'saga'}",-6.646734065964507,-8.275664522204856,-4.772946049318423,-37.945367139308736,-14.41017794419913,13.64445569471751,4,-14.54270228020016,-14.021211724678702,-15.07772072020257,-5.026623114866158,-12.167064459986896,4.139424464833067
3,0.04488980770111084,0.005738335493442935,0.002804994583129883,0.001288211005407112,10.0,100000,saga,"{'ridge__alpha': 10.0, 'ridge__max_iter': 100000, 'ridge__solver': 'saga'}",-6.476092758674485,-7.9519332690916364,-4.650072540073333,-37.982066033800585,-14.26504115041001,13.742888514313604,2,-14.77620919487157,-14.312731168513746,-15.327272685520978,-5.1956574404698115,-12.402967622344026,4.176612039803368
4,0.027194321155548096,0.005339072127913617,0.0037887096405029297,0.0015791194597995846,21.544346900318832,100000,saga,"{'ridge__alpha': 21.544346900318832, 'ridge__max_iter': 100000, 'ridge__solver': 'saga'}",-6.343970389997715,-7.762907050689033,-4.548535669594665,-38.19399865592973,-14.212352941552787,13.892583378483698,1,-15.155249132142277,-14.723111454013775,-15.712332060107224,-5.416161787913147,-12.751713608544106,4.249675711369603
5,0.017797529697418213,0.004045489605976893,0.0035390257835388184,0.001977440025469857,46.41588833612777,100000,saga,"{'ridge__alpha': 46.41588833612777, 'ridge__max_iter': 100000, 'ridge__solver': 'saga'}",-6.3235671121030625,-7.773085633376654,-4.5063645093952855,-38.51449939476989,-14.279379162411225,14.039940072439148,3,-15.65010915249433,-15.247095043594188,-16.22846809540717,-5.667935259228857,-13.198401887681136,4.361686629758592
6,0.020829200744628906,0.0030912506831721085,0.0041484832763671875,0.0022428065769657607,100.0,100000,saga,"{'ridge__alpha': 100.0, 'ridge__max_iter': 100000, 'ridge__solver': 'saga'}",-6.42286121793873,-7.9532081988992225,-4.531343809757647,-38.81007005183677,-14.429370819608092,14.12828998880982,5,-16.190016328293027,-15.776106981326965,-16.789457415391546,-5.9270871021651015,-13.670666956794161,4.4852503230653555
7,0.021983444690704346,0.007277756770928469,0.004316866397857666,0.002452728258011896,215.44346900318823,100000,saga,"{'ridge__alpha': 215.44346900318823, 'ridge__max_iter': 100000, 'ridge__solver': 'saga'}",-6.594018725471331,-8.203211470947167,-4.6145824586657564,-39.01607601873888,-14.606972168455783,14.149803680940375,7,-16.66408086307163,-16.210666994438984,-17.2953429475144,-6.181863992557323,-14.087988699395584,4.580828067418752
8,0.013799965381622314,0.0020176692676664464,0.004253983497619629,0.0020082594193662965,464.15888336127773,100000,saga,"{'ridge__alpha': 464.15888336127773, 'ridge__max_iter': 100000, 'ridge__solver': 'saga'}",-6.786752539543544,-8.443278580047748,-4.734790179350559,-39.15055451086256,-14.778843952451103,14.132199098868044,9,-17.02508564431507,-16.527846743496443,-17.687941345024196,-6.423615121077337,-14.416122213478262,4.632791834459901
9,0.010980486869812012,0.0017282814752965817,0.002544999122619629,0.00024229689127898342,1000.0,100000,saga,"{'ridge__alpha': 1000.0, 'ridge__max_iter': 100000, 'ridge__solver': 'saga'}",-6.969345513524592,-8.64050970133435,-4.867319621149307,-39.25286736600663,-14.932510550503721,14.104867033845553,10,-17.281954189909037,-16.75476273602699,-17.970920412846898,-6.640357115229263,-14.661998613503048,4.651331118504284
0,0.1632019281387329,0.023393874882052256,0.0040583014488220215,0.0018229983416665095,1.0,100000,saga,"{'ridge__alpha': 1.0, 'ridge__max_iter': 100000, 'ridge__solver': 'saga'}",-6.736726638763404,-4.740949638535252,-5.120411058235273,-8.09283930022405,-6.172731658939495,1.3381220134955236,1,-5.056307946822678,-5.630708111930138,-5.4423369366851375,-4.6292546602967395,-5.189651913933673,0.3841243242632263
1,0.12832576036453247,0.025630888930808837,0.004181504249572754,0.002200091745884557,2.154434690031884,100000,saga,"{'ridge__alpha': 2.154434690031884, 'ridge__max_iter': 100000, 'ridge__solver': 'saga'}",-6.758698505270134,-4.740696512256748,-5.0455869026400695,-8.153379211386088,-6.174590282888261,1.3772697645221317,2,-5.133479460998561,-5.711706216559915,-5.561823639413037,-4.707891762430562,-5.2787252698505185,0.39197079777859417
2,0.09770470857620239,0.00940626401632395,0.002748727798461914,0.001060382612117608,4.641588833612778,100000,saga,"{'ridge__alpha': 4.641588833612778, 'ridge__max_iter': 100000, 'ridge__solver': 'saga'}",-6.81599828639266,-4.74758041368678,-5.000681143940053,-8.23019235543709,-6.198613049864146,1.4185393515513045,3,-5.261394877021663,-5.848855518856905,-5.741874801959325,-4.830487295851043,-5.420653123422234,0.40626332325769654
3,0.06711846590042114,0.01696541017285688,0.0027118325233459473,0.001021098738401007,10.0,100000,saga,"{'ridge__alpha': 10.0, 'ridge__max_iter': 100000, 'ridge__solver': 'saga'}",-6.910653682539525,-4.76444490092473,-5.009955874998458,-8.328496496961696,-6.253387738856102,1.4578364494496823,4,-5.433530935678339,-6.050356486669682,-5.971350627058183,-4.998680237709676,-5.613479571778971,0.42699322704745823
